image_url,price,artist,title,date
https://d32dm0rphc51dk.cloudfront.net/ALQjJgHeS2_zmHJ0ou3zBg/larger.jpg,"US$7,000",Hunt Slonem,'Tom' Unique Painting,2023
https://d32dm0rphc51dk.cloudfront.net/Vv0Krea1JCVh7QXBzYEssg/larger.jpg,US$920,Desiderio,ROCKET SERIES 12,2009
https://d32dm0rphc51dk.cloudfront.net/rR4CkyxJz-dAJyME8LbJuw/larger.jpg,"US$2,920",Gema Quiles,Jinete rojo,2024
https://d32dm0rphc51dk.cloudfront.net/d18Dt_AUo2-7Exa4-SapdQ/larger.jpg,"£3,792",Geoffrey Bouillot,Kappabashi Looking,2024
https://d32dm0rphc51dk.cloudfront.net/_MYXs7myL6pEAL2cK7RLWg/larger.jpg,US$850,David Jamin,Le petit cuistot ,2024
https://d32dm0rphc51dk.cloudfront.net/LfxKiIQGT5Pyp80bySQBjg/larger.jpg,US$650,Kendra Lynn Bulgrin,Snow Day,2024
https://d32dm0rphc51dk.cloudfront.net/LwoLBUS2WiDtalo7IB-SKg/larger.jpg,"US$3,800",Bradley Stevens,Riverside,2023
https://d32dm0rphc51dk.cloudfront.net/CRRPQ2gyiJqOZophl9AnRA/larger.jpg,US$548,Nobue Kubota („ÇØ„Éú„Çø „Éé„Éñ„Ç®),You can see Sky Tree,2024
https://d32dm0rphc51dk.cloudfront.net/dbm8p3bDxXf3QDA4myU_CQ/larger.jpg,£600-£700,Georgia Beaumont,Lucky Oyster,2024
https://d32dm0rphc51dk.cloudfront.net/JmocFERfH--2sXlVHsTABw/larger.jpg,"US$7,000",Hunt Slonem,'Pink Diamond' with Diamond Dust,2024
https://d32dm0rphc51dk.cloudfront.net/QqhZ4GH06PlVG3fpHPIeww/larger.jpg,US$295,Preston M. Smith,Cracks and Crevices,2018
https://d32dm0rphc51dk.cloudfront.net/JMJ8apgBVAorksjB1v8Erg/larger.jpg,£600,Ben Walker,Circle III,2023
https://d32dm0rphc51dk.cloudfront.net/5NwTC568lcrVytXTw1QSfQ/larger.jpg,US$850,Nicole Williford,The Terrace at Santee,2024
https://d32dm0rphc51dk.cloudfront.net/XOrl0nfNJMt2k4-AwQLckg/larger.jpg,"US$4,600",Sally K,Blue Lace,2024
https://d32dm0rphc51dk.cloudfront.net/tBjwosZOO2BqLCfPgQ9hRg/larger.jpg,"US$6,500",Matthias Meyer,London I,1998
https://d32dm0rphc51dk.cloudfront.net/HhHbSgpsu1ADfC6eNtI-4A/larger.jpg,US$795,Preston M. Smith,Memory Lane,2017
https://d32dm0rphc51dk.cloudfront.net/E9_DPFOIiiGyot4dgPdgnw/larger.jpg,US$580,Raminta Blazeviciute-Mozuraitiene,In the Jungle,2024
https://d32dm0rphc51dk.cloudfront.net/22TUX_9E_uBvVQs3iqYMAg/larger.jpg,"US$1,200",Kunstrasen,Can solo ,2016
https://d32dm0rphc51dk.cloudfront.net/RCbbjPkpHPkHfT-0fA4j2A/larger.jpg,US$800,David Jamin,Petite ballerine,2024
https://d32dm0rphc51dk.cloudfront.net/SvFdKFe3ZzF-c86M59IzXQ/larger.jpg,"US$3,000",Jacob Dhein,Red Sun,2023
https://d32dm0rphc51dk.cloudfront.net/11qPU7i6XSFif4wdcXvNRQ/larger.jpg,"US$2,200",Tobias Stutz,Mountainroom V,2023
https://d32dm0rphc51dk.cloudfront.net/dbTaITfqAwKpSaDLq9tQsw/larger.jpg,US$675,Bill Mead,Don't Toot Your Own Horn,2023
